Model,Task,Accuracy,Precision,Recall,F1,ROC-AUC,MAE,RMSE,R2,Adj_R2
Logistic Regression,Classification,0.8089887640449438,0.7833333333333333,0.6911764705882353,0.734375,0.8609625668449199,,,,
Decision Tree,Classification,0.8089887640449438,0.8148148148148148,0.6470588235294118,0.7213114754098361,0.8560160427807486,,,,
"Random Forest (tuned, GridSearchCV)",Classification,0.8033707865168539,0.7619047619047619,0.7058823529411765,0.732824427480916,0.8236631016042781,,,,
Linear Regression (fare),Regression,,,,,,21.138552296883105,41.746502315739114,0.34677389181134044,0.32385367748893135
